Latrine,LatrineBag,LatrineSite,LatrineAreaType,Species,Event,pool? ,TotalWeightField_g,WeightofBaermannSamples,WeightOfProcessedScat,DriedLatrineWeight-MinusSegments_g,TotalWeight_dried_g,ScatSegmentsObserved,ScatSegmentEstimate,notes
,,OC_Shed,Trail,unknown,OC_Shed_10J19,,,,,,,2,,
,,KC_Creek,Trail,unknown,KC_Creek_11J19,,8,,,,,3,,
,,KC_C4,Trail,unknown,KC_C4_11J19,,22,,,,,5+,,
MY_Delivery1,S12,MY_Delivery,Maintenance,Bassaricus astutus,MY_Delivery_22J19,no,69,10,22,71.341,103.341,25+,44.93,
MY_Delivery2,S4,MY_Delivery,Maintenance,Bassaricus astutus,MY_Delivery_15J19,with S11,39,,2.5311,0,2.5311,,1.10,
MY_Delivery2,S11,MY_Delivery,Maintenance,Bassaricus astutus,MY_Delivery_22J19,with S4,28,10,14.4343,8.5358,32.9701,,14.33,
MY_Showers1,S5,MY_Showers,Maintenance,Bassaricus astutus,MY_Showers_15J19,yes,435,34,15,0,49,,21.30,
MY_Showers1,S13,MY_Showers,Maintenance,Bassaricus astutus,MY_Showers_22J19,yes,401,10,33.2399,328.4103,371.6502,,161.59,
MY_Signshop1,S6,MY_Signshop,Maintenance,Bassaricus astutus,MY_Signshop_16J19,with S18 ,,10,6,0,16,,,
MY_Signshop1,S18,MY_Signshop,Maintenance,Bassaricus astutus,MY_Signshop_25J19,with S6,,,,,0,,,
MY_Roadhouse1,S7,MY_Roadhouse,Maintenance,Bassaricus astutus,MY_Roadhouse_16J19,with S19,221,28,10,10.8141,48.8141,,21.22,
MY_Roadhouse1,S19,MY_Roadhouse,Maintenance,,MY_Roadhouse_25J19,with S7,173,10,10,111.8793,131.8793,,57.34,
,,KC_LP,Trail,unknown,KC_LP_21J19,,,,,,0,,,
,,ZC_SB,Trail,Procyon lotor,ZC_SB_22J19,,,,,,0,,,
ZC_ZL-ServerStation1,S24,ZC_ZL-ServerStation,Lodge,Bassaricus astutus,ZC_ZL-ServerStation_30J19,,119,10,10,65.8432,85.8432,,37.32,
ZC_ZL-FrontDesk1,S21,ZC_ZL-FrontDesk,Lodge,Bassaricus astutus,ZC_ZL-FrontDesk_23J19,with S25,31,10,28,0,38,,16.52,
ZC_ZL-FrontDesk1,S25,ZC_ZL-FrontDesk,Lodge,Bassaricus astutus,ZC_ZL-FrontDesk_30J19,with S21,154,10,,86.9628,96.9628,,,
,,SC_BC,Trail,unknown,SC_BC_1,,,,,,0,,,
ZL_Giftshop1,S35,ZL_Giftshop,Lodge,Bassaricus astutus,ZL_Giftshop_5A19,with S42,18,,4,0,4,,1.74,Need to add from parasite samples
ZL_Giftshop1,S42,ZL_Giftshop,Lodge,Bassaricus astutus,ZL_Giftshop_12A19,with S35,,10,,,10,,,
ZL_Fireplace1,S36,ZL_Fireplace1,Lodge,Bassaricus astutus,ZL_Fireplace1_5A19,with S43,20,,5,0,5,,2.17,Need to add from parasite samples
ZL_Fireplace1,S43,ZL_Fireplace1,Lodge,Bassaricus astutus,ZL_Fireplace1_12A19,with S36,,,,,0,,,
ZL_Fireplace2,S37,ZL_Fireplace2,Lodge,Bassaricus astutus,ZL_Fireplace2_5A19,,170,,10,119.857,129.857,,56.46,Need to add from parasite samples
,,ZC_GR,Trail,Urocyon cinereoargenteus(?),ZC_GR_05A19,,,,,,,,,
,,ZC_RW,Trail,Bassaricus astutus(?),ZC_RW_04A19,,,,,,,,,
,,EC,Trail,,EC_03A19,,,,,,,,,
,,BDW,Trail,,,,,,,,,,,
,,ZC_PC,Trail,,ZC_PC_03A19,,,,,,,,,
,,ZC_AL,Trail,unknown,ZC_AL_30J19,,,,,,,,,